case,kind,event_id,peak,init,month,start,end,n_days,peak_anom_K,mean_anom_K,obs_event
event_01_20220113,event,1,2022-01-13T00:00:00,2021-12-23T00:00:00,1,2022-01-13,2022-01-13,1,2.453,2.453,1
event_02_20220211,event,2,2022-02-11T00:00:00,2022-01-21T00:00:00,2,2022-02-10,2022-02-11,2,3.04,2.864,1
event_03_20220302,event,3,2022-03-02T00:00:00,2022-02-09T00:00:00,3,2022-03-02,2022-03-02,1,2.581,2.581,1
event_04_20220317,event,4,2022-03-17T00:00:00,2022-02-24T00:00:00,3,2022-03-16,2022-03-17,2,3.061,2.936,1
event_05_20220515,event,5,2022-05-15T00:00:00,2022-04-24T00:00:00,5,2022-05-15,2022-05-15,1,2.506,2.506,1
event_06_20221102,event,6,2022-11-02T00:00:00,2022-10-12T00:00:00,11,2022-11-01,2022-11-02,2,2.549,2.484,1
event_07_20221106,event,7,2022-11-06T00:00:00,2022-10-16T00:00:00,11,2022-11-06,2022-11-06,1,2.423,2.423,1
event_08_20230101,event,8,2023-01-01T00:00:00,2022-12-11T00:00:00,1,2022-12-29,2023-01-05,8,4.825,3.847,1
event_09_20230112,event,9,2023-01-12T00:00:00,2022-12-22T00:00:00,1,2023-01-09,2023-01-12,4,3.361,2.952,1
event_10_20230118,event,10,2023-01-18T00:00:00,2022-12-28T00:00:00,1,2023-01-16,2023-01-19,4,3.291,2.935,1
event_11_20230206,event,11,2023-02-06T00:00:00,2023-01-16T00:00:00,2,2023-02-06,2023-02-08,3,2.592,2.506,1
event_12_20230220,event,12,2023-02-20T00:00:00,2023-01-30T00:00:00,2,2023-02-20,2023-02-21,2,2.805,2.625,1
event_13_20230412,event,13,2023-04-12T00:00:00,2023-03-22T00:00:00,4,2023-04-11,2023-04-12,2,2.624,2.498,1
event_14_20231020,event,14,2023-10-20T00:00:00,2023-09-29T00:00:00,10,2023-10-20,2023-10-22,3,3.222,2.87,1
event_15_20231107,event,15,2023-11-07T00:00:00,2023-10-17T00:00:00,11,2023-11-06,2023-11-07,2,3.102,2.87,1
event_16_20231117,event,16,2023-11-17T00:00:00,2023-10-27T00:00:00,11,2023-11-16,2023-11-18,3,3.135,2.968,1
event_17_20231209,event,17,2023-12-09T00:00:00,2023-11-18T00:00:00,12,2023-12-08,2023-12-09,2,2.756,2.684,1
event_18_20231217,event,18,2023-12-17T00:00:00,2023-11-26T00:00:00,12,2023-12-15,2023-12-18,4,3.287,2.825,1
event_19_20231224,event,19,2023-12-24T00:00:00,2023-12-03T00:00:00,12,2023-12-21,2023-12-28,8,3.627,2.915,1
event_20_20240126,event,20,2024-01-26T00:00:00,2024-01-05T00:00:00,1,2024-01-24,2024-02-03,11,4.375,3.679,1
event_21_20240209,event,21,2024-02-09T00:00:00,2024-01-19T00:00:00,2,2024-02-06,2024-02-10,5,3.174,2.822,1
event_22_20240222,event,22,2024-02-22T00:00:00,2024-02-01T00:00:00,2,2024-02-21,2024-02-23,3,3.635,3.101,1
event_23_20240226,event,23,2024-02-26T00:00:00,2024-02-05T00:00:00,2,2024-02-26,2024-02-27,2,4.051,3.889,1
event_24_20240303,event,24,2024-03-03T00:00:00,2024-02-11T00:00:00,3,2024-03-02,2024-03-06,5,3.311,2.678,1
event_25_20240313,event,25,2024-03-13T00:00:00,2024-02-21T00:00:00,3,2024-03-12,2024-03-15,4,3.206,2.848,1
event_26_20240415,event,26,2024-04-15T00:00:00,2024-03-25T00:00:00,4,2024-04-14,2024-04-15,2,2.852,2.746,1
event_27_20240802,event,27,2024-08-02T00:00:00,2024-07-12T00:00:00,8,2024-08-02,2024-08-02,1,2.393,2.393,1
event_28_20240929,event,28,2024-09-29T00:00:00,2024-09-08T00:00:00,9,2024-09-26,2024-09-30,5,3.454,2.924,1
event_29_20241005,event,29,2024-10-05T00:00:00,2024-09-14T00:00:00,10,2024-10-05,2024-10-06,2,2.997,2.709,1
event_30_20241022,event,30,2024-10-22T00:00:00,2024-10-01T00:00:00,10,2024-10-21,2024-10-23,3,2.834,2.812,1
event_31_20241029,event,31,2024-10-29T00:00:00,2024-10-08T00:00:00,10,2024-10-28,2024-10-30,3,2.736,2.599,1
event_32_20241111,event,32,2024-11-11T00:00:00,2024-10-21T00:00:00,11,2024-11-11,2024-11-11,1,2.861,2.861,1
event_33_20241217,event,33,2024-12-17T00:00:00,2024-11-26T00:00:00,12,2024-12-16,2024-12-18,3,3.808,3.504,1
event_34_20241229,event,34,2024-12-29T00:00:00,2024-12-08T00:00:00,12,2024-12-24,2024-12-31,8,5.383,3.82,1
event_35_20250203,event,35,2025-02-03T00:00:00,2025-01-13T00:00:00,2,2025-02-03,2025-02-04,2,3.185,2.785,1
event_36_20250207,event,36,2025-02-07T00:00:00,2025-01-17T00:00:00,2,2025-02-07,2025-02-07,1,2.611,2.611,1
event_37_20250225,event,37,2025-02-25T00:00:00,2025-02-04T00:00:00,2,2025-02-24,2025-02-28,5,4.191,3.491,1
event_38_20250314,event,38,2025-03-14T00:00:00,2025-02-21T00:00:00,3,2025-03-13,2025-03-14,2,2.996,2.907,1
event_39_20250326,event,39,2025-03-26T00:00:00,2025-03-05T00:00:00,3,2025-03-25,2025-03-28,4,2.911,2.774,1
event_40_20250513,event,40,2025-05-13T00:00:00,2025-04-22T00:00:00,5,2025-05-13,2025-05-13,1,2.366,2.366,1
event_41_20250929,event,41,2025-09-29T00:00:00,2025-09-08T00:00:00,9,2025-09-29,2025-09-30,2,2.458,2.432,1
